city,hotel_name,price,rating,price_category,rating_bucket,price_per_rating
Mumbai,Hilton Garden Inn Mumbai International Airport,10007.0,8.3,Premium,Medium,1205.6626506024095
Mumbai,Fairmont Mumbai,27500.0,9.0,Premium,High,3055.5555555555557
Mumbai,Hotel Bawa International,6750.0,7.6,Mid-range,Medium,888.1578947368422
Mumbai,Hilton Mumbai International Airport Hotel,19700.0,8.7,Premium,High,2264.3678160919544
Mumbai,Ginger Mumbai Airport,7999.0,7.3,Premium,Medium,1095.7534246575342
Mumbai,"Indie Stays, BKC",8499.0,7.4,Premium,Medium,1148.5135135135135
Mumbai,Ramada Plaza By Wyndham Palm Grove,10603.0,7.6,Premium,Medium,1395.1315789473686
Mumbai,"The Fern Residency Mumbai, Mira Road, Series by Marriott",6250.0,8.2,Mid-range,Medium,762.1951219512196
Mumbai,Taj Santacruz,20000.0,8.8,Premium,High,2272.7272727272725
Mumbai,Trident Bandra Kurla,21500.0,9.0,Premium,High,2388.8888888888887
Mumbai,Hotel Zara International,2398.0,7.0,Budget,Medium,342.57142857142856
Mumbai,"Aurika, Mumbai International Airport - Luxury by Lemon Tree Hotels",11811.0,8.5,Premium,High,1389.5294117647059
Mumbai,Fairfield by Marriott Mumbai International Airport,13499.0,8.4,Premium,Medium,1607.0238095238094
Mumbai,The Resort,8279.0,8.2,Premium,Medium,1009.6341463414635
Mumbai,"Zenith Homes - Premium Suites, near IIT Powai, Hiranandani & Mumbai Airport",4345.0,7.7,Mid-range,Medium,564.2857142857142
Mumbai,ibis Mumbai BKC,8190.0,8.4,Premium,Medium,975.0
Mumbai,FabHotel Royal International - Nr Mumbai International Airport,2850.0,7.1,Budget,Medium,401.40845070422534
Mumbai,FabHotel Silver Lake,2385.0,6.8,Budget,Low,350.7352941176471
Mumbai,FabHotel RK International - Nr Mumbai International Airport,2980.0,6.4,Budget,Low,465.625
Mumbai,Four Seasons Hotel Mumbai,26000.0,8.8,Premium,High,2954.5454545454545
Mumbai,"Grand Hotel Mumbai - Ballard Estate, Fort",8550.0,7.5,Premium,Medium,1140.0
Mumbai,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",22750.0,8.9,Premium,High,2556.179775280899
Mumbai,ibis Mumbai Airport - An Accor Brand,9499.0,6.4,Premium,Low,1484.21875
Mumbai,Chateau Windsor Hotel - Marine Drive,6750.0,7.8,Mid-range,Medium,865.3846153846154
Mumbai,Taj Lands End,26462.0,8.2,Premium,Medium,3227.0731707317077
Mumbai,Holiday Inn Mumbai International Airport by IHG,10886.0,8.4,Premium,Medium,1295.952380952381
Mumbai,"Taj The Trees, Mumbai",16500.0,9.2,Premium,High,1793.4782608695652
Delhi,Hotel ECG Grand Inn Unit By GK Group Near IGI Airport,1239.0,,Budget,No rating,
Delhi,Hyatt Delhi Residences,45000.0,8.9,Premium,High,5056.179775280899
Delhi,Hotel Chanchal Deluxe - New Delhi Train Station,1934.0,7.8,Budget,Medium,247.94871794871796
Delhi,Hotel El De Olive Aero Suites Near Delhi IGI Airport,1627.0,9.2,Budget,High,176.84782608695653
Delhi,"Hotel Krishna - By RCG Hotels, Centrally Located, New Delhi",2376.0,8.3,Budget,Medium,286.2650602409638
Delhi,FairMount Plaza Inns Near International Airport,2799.0,8.6,Budget,High,325.4651162790698
Delhi,Jyoti Mahal - An Award Winning Royal Heritage Hotel - Close to Connaught Place,5293.0,7.9,Mid-range,Medium,670.0
Delhi,New Delhi YMCA Tourist Hostel,5160.0,7.6,Mid-range,Medium,678.9473684210527
Delhi,The Prime Delhi,4455.0,8.0,Mid-range,Medium,556.875
Delhi,Airport Hotel Grand,2183.0,8.0,Budget,Medium,272.875
Delhi,BLESS INN - Near Connaught Place,3764.0,8.2,Mid-range,Medium,459.0243902439025
Delhi,Hotel Star Villa - Front of NDLS Station & 1 Minute from Connaught Place & City Centre,3464.0,8.0,Mid-range,Medium,433.0
Delhi,Hotel The Prithvi Near Delhi Airport With One Way Airport Transfar,4165.0,5.6,Mid-range,Low,743.75
Delhi,Hotel Atlantis Continental,2029.0,8.1,Budget,Medium,250.49382716049385
Delhi,Hotel Shri Vinayak in City Centre at New Delhi Railway Station-By RCG Hotels,1950.0,8.3,Budget,Medium,234.93975903614455
Delhi,The Shanti Plaza - Traveler's choice awarded 2025,3360.0,8.2,Mid-range,Medium,409.75609756097566
Delhi,Airport La Sapphire Hotel & Restaurant,3698.0,8.3,Mid-range,Medium,445.54216867469876
Delhi,Hotel Baba Deluxe near New Delhi Railway Station and City Center -By RCG Hotels,2304.0,8.4,Budget,Medium,274.2857142857143
Delhi,Hotel Panickers Residency - Near Ganga Ram & BLK Hospital - Karol Bagh,3280.0,8.4,Mid-range,Medium,390.4761904761905
Delhi,99 Hotel AIRPORT Stay NEAR Delhi Airport WITH- Free Airport PICKUP,4643.0,8.5,Mid-range,High,546.2352941176471
Delhi,Hotel Belwoods Near Delhi Airport,2079.0,8.8,Budget,High,236.24999999999997
Delhi,"Hotel Bricks, Karol Bagh, New Delhi",2646.0,8.3,Budget,Medium,318.79518072289153
Delhi,Hotel Almati Inn Near Delhi Airport - With Free Airport Pickup,6300.0,8.4,Mid-range,Medium,750.0
Delhi,The Waves Hotel with Free Airport Pickup or Drop,3959.0,8.5,Mid-range,High,465.7647058823529
Delhi,"Airport Le Premier, New Delhi",3659.0,8.4,Mid-range,Medium,435.5952380952381
Delhi,The Iconic Hotel Delhi International Airport,2027.0,8.0,Budget,Medium,253.375
Bangalore,FabHotel Royal N Comforts,1807.0,7.0,Budget,Medium,258.14285714285717
Bangalore,Grand Mercure Bangalore - An Accor Brand,9500.0,8.6,Premium,High,1104.6511627906978
Bangalore,The Chancery Pavilion,6000.0,7.9,Mid-range,Medium,759.493670886076
Bangalore,Doubletree By Hilton Bengaluru Airport,10625.0,8.1,Premium,Medium,1311.7283950617284
Bangalore,Holiday Inn Bengaluru Racecourse by IHG,9385.0,8.5,Premium,High,1104.1176470588234
Bangalore,Marriott Executive Apartments Bengaluru UB City,12500.0,8.7,Premium,High,1436.7816091954023
Bangalore,"Royal Orchid Central Bangalore, MG Road",5939.0,7.5,Mid-range,Medium,791.8666666666667
Bangalore,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",15000.0,8.7,Premium,High,1724.1379310344828
